x,y
0.2,12.084868
0.249,9.741895
0.298,8.175846
0.347,7.05759
0.396,6.220902
0.445,5.572769
0.494,5.057083
0.543,4.637987
0.592,4.291498
0.641,4.000965
0.69,3.754466
0.739,3.543243
0.788,3.360715
0.837,3.201842
0.886,3.062699
0.935,2.940185
0.984,2.831815
1.033,2.735576
1.082,2.649821
1.131,2.573187
1.18,2.504538
1.229,2.442918
1.278,2.387519
1.327,2.337651
1.376,2.292725
1.425,2.25223
1.474,2.215724
1.523,2.182822
1.572,2.153188
1.621,2.126524
1.67,2.10257
1.719,2.081093
1.768,2.061888
1.817,2.044771
1.866,2.029578
1.915,2.01616
1.964,2.004385
2.013,1.994133
2.062,1.985295
2.111,1.977774
2.16,1.971478
2.209,1.966327
2.258,1.962246
2.307,1.959168
2.356,1.957028
2.405,1.955771
2.454,1.955343
2.503,1.955696
2.552,1.956784
2.601,1.958566
2.65,1.961003
2.699,1.96406
2.748,1.967704
2.797,1.971904
2.846,1.97663
2.895,1.981857
2.944,1.98756
2.993,1.993714
3.042,2.000299
3.091,2.007293
3.14,2.014678
3.189,2.022435
3.238,2.030548
3.287,2.039
3.336,2.047777
3.385,2.056865
3.434,2.06625
3.483,2.07592
3.532,2.085863
3.581,2.096068
3.63,2.106524
3.679,2.117221
3.728,2.128149
3.777,2.1393
3.826,2.150665
3.875,2.162236
3.924,2.174005
3.973,2.185965
4.022,2.198109
4.071,2.21043
4.12,2.222922
4.169,2.235579
4.218,2.248395
4.267,2.261365
4.316,2.274483
4.365,2.287745
4.414,2.301145
4.463,2.314679
4.512,2.328343
4.561,2.342133
4.61,2.356044
4.659,2.370073
4.708,2.384215
4.757,2.398469
4.806,2.412829
4.855,2.427293
4.904,2.441859
4.953,2.456521
5.002,2.471279
5.051,2.486129
5.1,2.501068
5.149,2.516095
5.198,2.531205
5.247,2.546398
5.296,2.561671
5.345,2.577021
5.394,2.592447
5.443,2.607946
5.492,2.623517
5.541,2.639158
5.59,2.654866
5.639,2.67064
5.688,2.686478
5.737,2.70238
5.786,2.718342
5.835,2.734364
5.884,2.750443
5.933,2.76658
5.982,2.782771
6.031,2.799017
6.08,2.815315
6.129,2.831664
6.178,2.848064
6.227,2.864512
6.276,2.881008
6.325,2.897551
6.374,2.914139
6.423,2.930772
6.472,2.947448
6.521,2.964167
6.57,2.980928
6.619,2.997729
6.668,3.01457
6.717,3.031449
6.766,3.048367
6.815,3.065322
6.864,3.082314
6.913,3.099341
6.962,3.116403
7.011,3.133499
7.06,3.150629
7.109,3.167791
7.158,3.184986
7.207,3.202211
7.256,3.219468
7.305,3.236755
7.354,3.254072
7.403,3.271417
7.452,3.288791
7.501,3.306193
7.55,3.323622
7.599,3.341078
7.648,3.35856
7.697,3.376068
7.746,3.393601
7.795,3.411159
7.844,3.428742
7.893,3.446348
7.942,3.463978
7.991,3.48163
8.04,3.499306
8.089,3.517003
8.138,3.534723
8.187,3.552463
8.236,3.570225
8.285,3.588007
8.334,3.60581
8.383,3.623633
8.432,3.641475
8.481,3.659336
8.53,3.677216
8.579,3.695115
8.628,3.713032
8.677,3.730967
8.726,3.74892
8.775,3.76689
8.824,3.784877
8.873,3.802881
8.922,3.820901
8.971,3.838938
9.02,3.856991
9.069,3.875059
9.118,3.893143
9.167,3.911242
9.216,3.929356
9.265,3.947484
9.314,3.965628
9.363,3.983785
9.412,4.001956
9.461,4.020142
9.51,4.038341
9.559,4.056553
9.608,4.074779
9.657,4.093017
9.706,4.111269
9.755,4.129532
9.804,4.147809
9.853,4.166097
9.902,4.184398
9.951,4.202711
10.0,4.221035
