eps,x0,計算回数,解,|f(x)|
1e-06,-1,5,0.33766677,0.000e+00
1e-06,0,4,0.33766677,1.110e-16
1e-09,1,8,1.30748610,4.441e-16
1e-09,2,7,1.30748610,4.441e-16
